feature,kept_features_count,ic,rmse,mae,rank_ic,hit_ratio,delta_ic,delta_rmse
log_return_1d,20,0.06886084490807505,0.018689336734600114,0.013630607728451006,0.033207147953909756,0.5132547864506627,0.0018598093980315006,0.000385596861137337
log_return_5d,20,0.0701560955651053,0.01875394937467128,0.013909005051171729,0.0012828263093472255,0.5088365243004418,0.0005645587410012531,0.0004502095012085018
log_return_20d,20,0.014386097533962137,0.01912499701343849,0.014025391910222604,0.00435331179669614,0.5103092783505154,0.05633455677214441,0.0008212571399757139
ema_return_5,20,0.08438505827307038,0.018007163758717075,0.013185430858763919,0.03975957755554113,0.5213549337260678,-0.013664403966963834,-0.0002965761147457023
ema_return_20,20,0.09985146404800745,0.018659481219596253,0.013616815692001455,0.052833803945874065,0.5287187039764359,-0.029130809741900895,0.00035574134613347574
realized_vol_5d,20,0.033614184682521135,0.01890565637631515,0.014076395174815723,-0.010700173805036661,0.4889543446244477,0.037106469623585416,0.0006019165028523718
realized_vol_20d,20,0.048434222422944956,0.018606741031511574,0.01355724671719741,0.00994102580965066,0.5007363770250368,0.022286431883161595,0.00030300115804879693
vol_ratio_5_20,20,0.027046096903006252,0.018820540398230765,0.013759987784208704,0.0355275463983048,0.5132547864506627,0.0436745574031003,0.0005168005247679873
gap_log,20,0.06376177361973843,0.01867259378128289,0.013759815884839162,0.04614374949628866,0.5103092783505154,0.006958880686368116,0.00036885390782011307
intraday_log,20,0.06089329840923235,0.01850223904128844,0.013313606989122474,0.036715561006116705,0.5066273932253313,0.009827355896874203,0.00019849916782566437
volume_z_20,20,0.011030408233999879,0.01882974543378541,0.013660298249985497,0.01677576555609547,0.508100147275405,0.05969024607210667,0.0005260055603226316
day_of_week,20,0.10412489821930641,0.01796836559248369,0.013143500097445153,0.06138667889723929,0.5390279823269514,-0.03340424391319986,-0.0003353742809790866
zscore_price_vs_ma20,20,0.07406133325419777,0.018505817595190505,0.013548996247362919,0.024078512201411037,0.5132547864506627,-0.0033406789480912163,0.0002020777217277281
clv,20,0.10440794227225046,0.017977299949053484,0.013068587674332303,0.04395628011435239,0.520618556701031,-0.03368728796614391,-0.00032643992440929345
body_to_range,20,0.08827010718852975,0.018299189261201682,0.0133790978498988,0.04261177849889257,0.5154639175257731,-0.017549452882423197,-4.550612261094988e-06
vol_ratio_5_60,20,0.06007223930472316,0.018415172526271867,0.013558631737284782,0.013601486435565349,0.5103092783505154,0.010648415001383388,0.00011143265280908962
rolling_skew_60,20,0.08185787118317914,0.018442792446759917,0.013518161931900585,0.04842041005292781,0.5176730486008837,-0.011137216877072587,0.00013905257329713955
rolling_kurtosis_60,20,0.08356069341966249,0.018368604170064962,0.013553592074129492,0.05818982406919801,0.5198821796759941,-0.01284003911355594,6.486429660218507e-05
vix_level,20,0.06552297971209062,0.01822581777127468,0.013374962896187354,0.030270188082368817,0.5051546391752577,0.005197674594015933,-7.792210218809589e-05
vix_change_1d,20,0.07054293934619417,0.01809740466936164,0.013288026127914139,0.013450616374075628,0.5058910162002945,0.00017771495991238118,-0.00020633520410113723
vix_zscore_60,20,0.07378609444680984,0.01852600619336098,0.013483195687292048,0.030955657765848785,0.5220913107511046,-0.003065440140703285,0.0002222663198982039
