feature,kept_features_count,ic,rmse,mae,rank_ic,hit_ratio,delta_ic,delta_rmse
log_return_1d,21,0.05198203160659064,0.01840525351535871,0.013629709325710402,-0.01745713123979691,0.48306332842415317,0.048670179239680075,0.000300698246004847
log_return_5d,21,0.09490164365333953,0.018186164696952393,0.013252818150159818,0.04206208649468456,0.5235640648011782,0.005750567192931183,8.160942759852935e-05
log_return_20d,21,0.07190022915374951,0.018229316792952026,0.013442746203966011,0.021845112766551458,0.5162002945508101,0.028751981692521203,0.00012476152359816237
ema_return_5,21,0.011736938705175046,0.018699104113476365,0.013736679707945981,-0.024661654489846013,0.49116347569955815,0.08891527214109567,0.0005945488441225014
ema_return_20,21,0.00012434819976140721,0.018952057416544144,0.01392420585095886,-0.03766568372376251,0.48674521354933725,0.1005278626465093,0.0008475021471902808
realized_vol_5d,21,0.026995129872087405,0.018824742381594657,0.0137751536534864,0.017572786498986123,0.5169366715758469,0.0736570809741833,0.0007201871122407937
realized_vol_20d,21,0.03292742061807804,0.01883683408873712,0.013929178026739852,0.014592876960826008,0.5125184094256259,0.06772479022819267,0.0007322788193832551
vol_ratio_5_20,21,0.09863661786667204,0.018042952539066865,0.013336356126280785,0.02692526028364655,0.5088365243004418,0.0020155929795986766,-6.160273028699842e-05
atr_14_norm,21,0.10416643324285714,0.018058056669770384,0.013085177629319645,0.03870173687390465,0.5309278350515464,-0.0035142223965864278,-4.649859958347907e-05
gap_log,21,0.06299691434151007,0.0186216321083303,0.01372776031258812,0.03245540300810557,0.5184094256259205,0.03765529650476064,0.0005170768389764352
intraday_log,21,0.08408015604119022,0.018211220426783335,0.013307493182316945,0.05688991817738702,0.5117820324005891,0.01657205480508049,0.00010666515742947108
hl_range_log,21,0.11144672834434922,0.018392348468866705,0.01359574046124141,0.06126532877932063,0.5272459499263623,-0.010794517498078512,0.00028779319951284174
volume_z_20,21,0.03985339327099364,0.01841222360798278,0.013515476064078595,-0.004577147433048919,0.5125184094256259,0.060798817575277074,0.0003076683386289171
day_of_week,21,0.0937648220096247,0.01792326446221035,0.013188392196260536,0.013918526226572322,0.4793814432989691,0.006887388836646011,-0.00018129080714351237
zscore_price_vs_ma20,21,0.08350028503901781,0.018595816514295937,0.013721409443144336,0.061324145888457735,0.5301914580265096,0.017151925807252902,0.0004912612449420733
clv,21,0.09897395864250165,0.018167120935127543,0.01336566537641569,0.05483556938632622,0.5191458026509573,0.0016782522037690623,6.256566577367978e-05
body_to_range,21,0.05824613035498287,0.01811724014249922,0.01315583058707573,0.02786794401343849,0.5125184094256259,0.04240608049128784,1.2684873145357017e-05
vol_ratio_5_60,21,0.06582317042872259,0.018175519409108293,0.013357609152433574,0.036271042573976224,0.5117820324005891,0.03482904041754813,7.096413975443e-05
rolling_skew_60,21,0.0717435477024594,0.018476471863511663,0.013423565848582843,0.03743040565885852,0.5294550810014728,0.02890866314381131,0.00037191659415779926
rolling_kurtosis_60,21,0.09018487837597633,0.018158320191204367,0.013421068234925736,0.02928091545219888,0.5051546391752577,0.010467332470294383,5.3764921850503467e-05
vix_level,21,0.09817835235563098,0.018203023095978838,0.013415198864767068,0.040207248828246694,0.5117820324005891,0.0024738584906397326,9.846782662497472e-05
vix_change_1d,21,0.06863401211054568,0.018135913423027485,0.013211278125073566,0.03285335649333076,0.5184094256259205,0.032018198735725034,3.135815367362113e-05
