feature,importance_mean,importance_std,baseline_score,metric_name
log_return_1d,0.03476498702059913,0.006052861180481005,0.051392481342140396,ic
log_return_5d,-0.008268175839468142,0.006511981289976768,0.051392481342140396,ic
log_return_20d,0.026548858632507766,0.007782403007938529,0.051392481342140396,ic
ema_return_5,-0.007781274175602926,0.010505739481658071,0.051392481342140396,ic
ema_return_20,0.021646721563691348,0.010098896251834308,0.051392481342140396,ic
realized_vol_5d,-0.013988365775789758,0.008984153270381883,0.051392481342140396,ic
realized_vol_20d,0.012191480963706017,0.006012534314013436,0.051392481342140396,ic
vol_ratio_5_20,0.003930165267605511,0.009355426683751908,0.051392481342140396,ic
atr_14_norm,0.03635752285756585,0.003334738155360836,0.051392481342140396,ic
gap_log,0.006823200103301491,0.012379576128893595,0.051392481342140396,ic
intraday_log,0.00028516377303862834,0.007793862358522272,0.051392481342140396,ic
hl_range_log,0.02562040783869437,0.01048798092768223,0.051392481342140396,ic
volume_z_20,-0.004080160625090626,0.009711106693126135,0.051392481342140396,ic
clv,0.009904292883541835,0.010106805574897067,0.051392481342140396,ic
body_to_range,0.004712414461096144,0.0063935461053844745,0.051392481342140396,ic
vol_ratio_5_60,0.03292740537102245,0.01521903395844242,0.051392481342140396,ic
rolling_skew_60,0.004920458465059039,0.0112642620777074,0.051392481342140396,ic
rolling_kurtosis_60,0.006153435005112551,0.004219565506861784,0.051392481342140396,ic
