Date,open,high,low,close,adj_close,volume
1993-01-29 00:00:00+00:00,43.96875,43.96875,43.75,43.9375,24.241409301757812,1003200
1993-02-01 00:00:00+00:00,43.96875,44.25,43.96875,44.25,24.413814544677734,480500
1993-02-02 00:00:00+00:00,44.21875,44.375,44.125,44.34375,24.46553611755371,201300
1993-02-03 00:00:00+00:00,44.40625,44.84375,44.375,44.8125,24.72416877746582,529400
1993-02-04 00:00:00+00:00,44.96875,45.09375,44.46875,45.0,24.827613830566406,531500
1993-02-05 00:00:00+00:00,44.96875,45.0625,44.71875,44.96875,24.81036949157715,492100
1993-02-08 00:00:00+00:00,44.96875,45.125,44.90625,44.96875,24.81036949157715,596100
1993-02-09 00:00:00+00:00,44.8125,44.8125,44.5625,44.65625,24.637941360473633,122100
1993-02-10 00:00:00+00:00,44.65625,44.75,44.53125,44.71875,24.672435760498047,379600
1993-02-11 00:00:00+00:00,44.78125,45.125,44.78125,44.9375,24.793119430541992,19500
1993-02-12 00:00:00+00:00,44.875,44.875,44.59375,44.59375,24.603473663330078,42500
1993-02-16 00:00:00+00:00,44.46875,44.46875,43.40625,43.46875,23.9827823638916,374800
1993-02-17 00:00:00+00:00,43.46875,43.53125,43.28125,43.4375,23.965538024902344,210900
1993-02-18 00:00:00+00:00,43.9375,43.9375,42.8125,43.40625,23.948305130004883,378100
1993-02-19 00:00:00+00:00,43.40625,43.5625,43.34375,43.5625,24.034502029418945,34900
1993-02-22 00:00:00+00:00,43.6875,43.78125,43.5625,43.71875,24.120729446411133,513600
1993-02-23 00:00:00+00:00,43.84375,43.875,43.46875,43.6875,24.103458404541016,373700
1993-02-24 00:00:00+00:00,43.71875,44.25,43.71875,44.25,24.413814544677734,26300
1993-02-25 00:00:00+00:00,44.21875,44.375,44.125,44.34375,24.46553611755371,44500
1993-02-26 00:00:00+00:00,44.4375,44.4375,44.1875,44.40625,24.500022888183594,66200
1993-03-01 00:00:00+00:00,44.5625,44.5625,44.21875,44.28125,24.431053161621094,66500
1993-03-02 00:00:00+00:00,44.3125,44.9375,44.25,44.9375,24.793119430541992,182400
1993-03-03 00:00:00+00:00,45.0,45.15625,44.9375,45.125,24.89657211303711,280100
1993-03-04 00:00:00+00:00,45.1875,45.1875,44.875,44.875,24.758647918701172,89500
1993-03-05 00:00:00+00:00,44.9375,45.125,44.71875,44.75,24.689674377441406,40000
1993-03-08 00:00:00+00:00,44.84375,45.75,44.84375,45.75,25.241405487060547,50800
1993-03-09 00:00:00+00:00,45.65625,45.6875,45.5,45.59375,25.155189514160156,169300
1993-03-10 00:00:00+00:00,45.59375,45.6875,45.40625,45.6875,25.206920623779297,194400
1993-03-11 00:00:00+00:00,45.71875,45.84375,45.5,45.5625,25.137969970703125,70900
1993-03-12 00:00:00+00:00,45.1875,45.21875,44.8125,45.09375,24.87933921813965,643600
1993-03-15 00:00:00+00:00,45.0625,45.3125,45.0625,45.3125,25.000038146972656,310800
1993-03-16 00:00:00+00:00,45.3125,45.4375,45.3125,45.3125,25.000038146972656,30800
1993-03-17 00:00:00+00:00,45.25,45.25,44.96875,45.03125,24.844863891601562,21800
1993-03-18 00:00:00+00:00,45.21875,45.5,45.21875,45.3125,25.000038146972656,59300
1993-03-19 00:00:00+00:00,45.28125,45.28125,45.03125,45.03125,24.962203979492188,66900
1993-03-22 00:00:00+00:00,44.59375,44.875,44.5625,44.78125,24.82360076904297,183400
1993-03-23 00:00:00+00:00,44.90625,44.9375,44.8125,44.875,24.875585556030273,55200
1993-03-24 00:00:00+00:00,44.8125,45.0625,44.59375,44.875,24.875585556030273,37200
1993-03-25 00:00:00+00:00,44.90625,45.25,44.84375,45.15625,25.031494140625,110100
1993-03-26 00:00:00+00:00,45.125,45.15625,44.875,44.90625,24.89289665222168,101500
1993-03-29 00:00:00+00:00,44.9375,45.3125,44.9375,45.09375,24.99683952331543,87100
