strategy,n_days,cagr,annualized_vol,ann_vol,sharpe,max_drawdown,calmar_ratio,turnover,n_trades,hit_ratio,average_holding_period
buyhold,1358,0.12004230092583512,0.2804028529851345,0.2804028529851345,0.5441818066958684,-0.3555320011595364,0.33764133899150484,0.0007363770250368188,1,0.5265095729013255,1358.0
regime_overlay_condvol_highvol,1358,0.15447660791960827,0.17417143824550163,0.17417143824550163,0.9114892921993277,-0.14349792216703883,1.076507628729214,0.11184293964654321,832,0.5265095729013255,1358.0
regime_overlay_condvol_p80,1358,0.17624024700897967,0.20725590944293157,0.20725590944293157,0.8863789554317298,-0.21782844331406592,0.8090782100245548,0.1233930792886643,552,0.5265095729013255,1358.0
regime_overlay_longonly_base,1358,0.1798549430273877,0.2494055494142006,0.2494055494142006,0.7874500779590287,-0.2944861406615161,0.6107416213998128,0.13770250368188514,387,0.5265095729013255,1358.0
