strategy,n_days,cagr,annualized_vol,ann_vol,sharpe,max_drawdown,calmar_ratio,turnover,n_trades,hit_ratio,average_holding_period
buyhold,2807,0.17632853682649907,0.2880050179283562,0.2880050179283562,0.7082501437497465,-0.4037062161120829,0.4367743913498328,0.0003562522265764161,1,0.5301033131457071,2807.0
regime_overlay_condvol_highvol,2807,0.20999664247143968,0.17136337890598788,0.17136337890598788,1.1980920319940669,-0.17282732662900824,1.2150661968070549,0.11613183961522631,1743,0.5301033131457071,2807.0
regime_overlay_condvol_p80,2807,0.25959823803456894,0.21072497093840983,0.21072497093840983,1.2005616901526923,-0.21782844331406592,1.191755466297297,0.133263810059912,1149,0.5301033131457071,2807.0
regime_overlay_longonly_base,2807,0.26805622040432664,0.25070046498946585,0.25070046498946585,1.07258846454751,-0.33597431013574486,0.797847372008958,0.14446027787673674,837,0.5301033131457071,2807.0
